qn_ans_code,qn_text,qn_type,qn_label_godata_eng,qn_label_godata_ita,qn_label_godata_ara,qn_label_godata_ukr,ans_label,ans_value,qn_label,accept_na
Q1A1,Initial reporting form ,Multiple answers,initial_reporting_form,initial_reporting_form,initial_reporting_form,initial_reporting_form,Initial reporting form to be completed by INVESTIGATOR,Initial reporting form to be completed by INVESTIGATOR,init_form,0
Q1A1Q1,Unique health worker ID,Freetext,unique_health_worker_id,unique_health_worker_id,unique_health_worker_id,unique_health_worker_id,NA,NA,init_invest_id,0
Q1A1Q2A1,Case/Control status,Single Answer,case_control_status,case_control_status,case_control_status,case_control_status,Case,Case,case_control,0
Q1A1Q2A2,Case/Control status,Single Answer,case_control_status,case_control_status,case_control_status,case_control_status,Control,Control,case_control,0
Q1A2,Initial reporting form ,Multiple answers,initial_reporting_form,initial_reporting_form,initial_reporting_form,initial_reporting_form,Initial reporting form to be completed by INTERVIEWER,Initial reporting form to be completed by INTERVIEWER,init_form,0
Q1A2Q1,Unique health worker ID,Freetext,unique_health_worker_id_interviewer,unique_health_worker_id_interviewer,unique_health_worker_id_interviewer,unique_health_worker_id_interviewer,NA,NA,init_inter_id,0
Q1A2Q10A1,Educational level,Single Answer,education_level,education_level,education_level,education_level,None,None,education,0
Q1A2Q10A2,Educational level,Single Answer,education_level,education_level,education_level,education_level,Primary,Primary,education,0
Q1A2Q10A3,Educational level,Single Answer,education_level,education_level,education_level,education_level,Secondary,Secondary,education,0
Q1A2Q10A4,Educational level,Single Answer,education_level,education_level,education_level,education_level,Tertiary/University,Tertiary/University,education,0
Q1A2Q10A5,Educational level,Single Answer,education_level,education_level,education_level,education_level,Prefer not to answer,Prefer not to answer,education,0
Q1A2Q11A1,Are you a health worker specifically dedicated to caring for COVID-19 patients?,Single Answer,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,Yes,Yes,covid_specific_care,0
Q1A2Q11A1Q1,Please specify the number of days dedicated to COVID-19 patients only during previous 14 days:,Numeric,please_specify_days_dedicated_to_covid_19_patients_only_during_previous_14_days,please_specify_days_dedicated_to_covid_19_patients_only_during_previous_14_days,please_specify_days_dedicated_to_covid_19_patients_only_during_previous_14_days,please_specify_days_dedicated_to_covid_19_patients_only_during_previous_14_days,NA,NA,covid_specific_care_days,1
Q1A2Q11A2,Are you a health worker specifically dedicated to caring for COVID-19 patients?,Single Answer,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,No,No,covid_specific_care,0
Q1A2Q11A3,Are you a health worker specifically dedicated to caring for COVID-19 patients?,Single Answer,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,are_you_a_health_worker_specifically_dedicated_to_caring_for_covid_19_patients,There are no COVID-19 dedicated staff in my facility,There are no COVID-19 dedicated staff in my facility,covid_specific_care,0
Q1A2Q12A1,Did you receive specific training in the care of COVID-19 patients?,Single Answer,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,did_you_receive_specific_training_for_caring_of_covid_19_patients,Yes,Yes,covid_specific_training,0
